Date,Forecast Total System Load
2026-01-01,2718.966212601053
2026-02-01,2970.6352603050896
2026-03-01,3204.214925812505
2026-04-01,3421.005431583076
2026-05-01,3622.2135431289335
2026-06-01,3808.9592864812507
