Date,Forecast Total System Load,Change from Previous Month,Growth %
2026-01-01,2718.966212601053,,
2026-02-01,2970.6352603050896,251.66904770403653,9.256056457696161
2026-03-01,3204.214925812505,233.57966550741548,7.862953376626458
2026-04-01,3421.005431583076,216.79050577057114,6.765791646001995
2026-05-01,3622.2135431289335,201.20811154585726,5.881549023228172
2026-06-01,3808.9592864812507,186.74574335231728,5.155569684911598
