Date,Total System Load,HHS Care,HHS Discharges,Net Daily Intake
2023-01-01,7413.5,7369.625,232.0,-197.5
2023-02-01,7967.105263157895,7795.789473684211,272.7894736842105,-134.0
2023-03-01,8190.473684210527,7945.368421052632,282.89473684210526,-104.0
2023-04-01,8092.857142857143,7842.666666666667,269.9047619047619,-81.0
2023-05-01,8404.09090909091,8187.136363636364,284.3636363636364,-119.72727272727273
2023-06-01,6282.1,6136.45,201.45,-80.65
2023-07-01,7073.380952380952,6828.0952380952385,209.85714285714286,-24.285714285714285
2023-08-01,9585.1,9347.9,323.5,-144.15
2023-09-01,10992.368421052632,10701.315789473685,344.5263157894737,-135.52631578947367
2023-10-01,10308.227272727272,10205.318181818182,348.09090909090907,-254.95454545454547
2023-11-01,9909.6,9726.1,299.6,-139.7
2023-12-01,11255.263157894737,11068.631578947368,358.10526315789474,-194.68421052631578
2024-01-01,9021.636363636364,8851.045454545454,295.27272727272725,-165.72727272727272
2024-02-01,8766.8,8325.2,263.65,52.95
2024-03-01,8703.857142857143,8382.666666666666,270.3809523809524,-22.333333333333332
2024-04-01,7336.318181818182,7027.136363636364,203.36363636363637,32.0
2024-05-01,7836.047619047619,7490.285714285715,206.47619047619048,40.857142857142854
2024-06-01,7691.476190476191,7407.523809523809,233.85714285714286,-1.380952380952381
2024-07-01,6498.761904761905,6286.333333333333,185.66666666666666,-10.476190476190476
2024-08-01,6258.736842105263,6004.263157894737,161.73684210526315,24.894736842105264
2024-09-01,6452.636363636364,6213.409090909091,167.8181818181818,13.409090909090908
2024-10-01,6276.285714285715,6032.857142857143,152.0952380952381,32.95238095238095
2024-11-01,6151.421052631579,5914.684210526316,157.94736842105263,21.736842105263158
2024-12-01,6690.409090909091,6418.681818181818,166.45454545454547,33.31818181818182
2025-01-01,5080.045454545455,4991.090909090909,151.36363636363637,-71.81818181818181
2025-02-01,2804.2105263157896,2781.5263157894738,61.05263157894737,-43.10526315789474
2025-03-01,2185.909090909091,2164.4545454545455,14.045454545454545,-5.409090909090909
2025-04-01,2298.0,2273.1304347826085,8.826086956521738,1.173913043478261
2025-05-01,2439.777777777778,2406.9444444444443,11.38888888888889,2.611111111111111
2025-06-01,2511.470588235294,2492.4117647058824,16.529411764705884,-8.411764705882353
2025-07-01,2201.1428571428573,2187.190476190476,18.857142857142858,-14.666666666666666
2025-08-01,2026.9,2001.3,12.7,-5.35
2025-09-01,2118.0454545454545,2082.2272727272725,10.772727272727273,1.0454545454545454
2025-10-01,2265.3809523809523,2231.0476190476193,11.523809523809524,1.0
2025-11-01,2360.684210526316,2325.8947368421054,8.368421052631579,1.2105263157894737
2025-12-01,2481.4666666666667,2445.266666666667,9.6,-1.3333333333333333
